user,first_open,dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,enrolled_date,liked
272434,2013-02-02 06:44:10,5,06:00:00,19,16,0,0,1,2013-02-02 06:45:53,0
311539,2013-02-15 07:55:34,4,07:00:00,25,40,0,0,1,2013-06-12 21:28:51,0
54898,2013-04-07 11:36:16,6,11:00:00,20,1,1,0,0,,0
72135,2013-03-28 02:59:35,3,02:00:00,34,15,0,0,1,2013-03-28 03:17:15,0
246297,2013-04-22 04:39:30,0,04:00:00,24,59,0,0,1,2013-04-22 04:46:34,0
43535,2013-01-03 08:45:42,3,08:00:00,43,9,0,0,1,2013-01-03 08:56:13,0
255766,2013-05-30 14:19:32,3,14:00:00,41,45,0,0,1,2013-05-30 14:25:56,0
182086,2013-05-09 14:14:55,3,14:00:00,21,25,0,0,1,2013-05-09 14:21:31,0
353697,2013-03-15 22:26:54,4,22:00:00,29,33,0,0,1,2013-03-15 22:28:35,1
151404,2013-04-30 03:58:25,1,03:00:00,33,7,1,1,1,2013-06-06 13:02:36,0
78196,2013-06-29 19:51:47,5,19:00:00,26,29,1,0,0,,0
317630,2012-12-21 21:24:31,4,21:00:00,24,3,0,0,0,,0
96320,2013-07-05 19:39:23,4,19:00:00,17,4,0,0,0,,0
3052,2012-12-29 23:49:33,5,23:00:00,41,38,0,0,0,,0
214961,2013-05-20 12:39:51,0,12:00:00,30,21,1,1,1,2013-05-23 14:34:50,1
120380,2013-01-31 23:47:37,3,23:00:00,33,6,0,0,1,2013-02-21 18:56:02,0
179917,2013-05-04 15:47:15,5,15:00:00,23,49,0,0,1,2013-05-04 15:56:32,0
130555,2013-05-11 03:32:13,5,03:00:00,20,6,0,0,1,2013-05-11 03:35:10,0
272615,2013-06-25 18:58:29,1,18:00:00,31,8,0,0,1,2013-06-25 19:50:10,0
15106,2013-05-18 12:39:43,5,12:00:00,22,20,0,0,1,2013-05-18 12:41:59,0
202340,2013-05-28 13:59:22,1,13:00:00,30,41,0,0,1,2013-05-28 14:02:26,0
105984,2013-05-12 06:36:22,6,06:00:00,39,40,0,0,1,2013-05-12 06:37:02,0
155491,2013-04-19 21:57:58,4,21:00:00,31,25,0,1,1,2013-05-08 11:28:39,0
216192,2012-12-20 01:50:21,3,01:00:00,21,34,0,0,1,2012-12-20 01:52:48,0
316136,2013-05-17 15:24:26,4,15:00:00,37,11,0,0,0,,0
35333,2013-05-28 04:11:03,1,04:00:00,17,89,0,0,1,2013-05-28 04:21:05,0
169339,2013-03-20 00:46:07,2,00:00:00,31,22,0,0,1,2013-03-20 00:47:09,0
94763,2013-05-21 16:56:52,1,16:00:00,47,8,0,0,0,,1
177859,2013-03-24 05:35:25,6,05:00:00,24,20,0,0,1,2013-03-24 05:36:58,0
27513,2013-04-28 16:49:59,6,16:00:00,32,25,1,0,1,2013-04-28 16:51:18,0
368717,2013-03-14 18:46:44,3,18:00:00,25,25,0,1,1,2013-03-17 00:19:23,0
165008,2013-01-03 18:39:05,3,18:00:00,25,43,0,0,0,,0
109154,2013-05-17 23:51:54,4,23:00:00,26,13,0,0,1,2013-05-17 23:52:34,0
276264,2013-02-22 07:15:23,4,07:00:00,18,20,0,0,0,,0
154536,2013-05-28 04:59:36,1,04:00:00,29,47,1,1,1,2013-05-28 05:01:55,0
116034,2013-06-01 12:04:18,5,12:00:00,20,39,0,1,1,2013-06-01 12:08:41,0
167756,2013-01-29 12:30:49,1,12:00:00,22,38,0,0,1,2013-01-29 12:33:22,0
56270,2013-06-23 22:09:26,6,22:00:00,46,35,0,0,1,2013-06-23 22:11:33,1
144393,2013-04-30 21:03:43,1,21:00:00,31,36,1,0,1,2013-04-30 21:08:16,0
138529,2013-06-18 18:14:42,1,18:00:00,45,22,1,0,0,,0
339263,2013-03-07 19:08:59,3,19:00:00,28,12,0,0,0,,0
364344,2013-06-04 22:29:29,1,22:00:00,42,37,1,0,1,2013-06-05 12:43:54,0
262301,2013-05-31 03:19:06,4,03:00:00,23,20,1,1,1,2013-05-31 03:21:41,1
89726,2013-04-28 17:35:39,6,17:00:00,24,13,0,0,1,2013-04-28 17:38:43,1
312461,2013-04-17 13:43:15,2,13:00:00,19,11,0,0,1,2013-04-30 13:46:31,0
62035,2013-05-05 07:13:31,6,07:00:00,38,13,1,1,1,2013-05-05 07:15:10,0
264696,2013-07-06 19:29:00,5,19:00:00,27,14,0,1,1,2013-07-06 19:39:35,1
269067,2013-01-14 03:16:51,0,03:00:00,33,19,0,0,1,2013-01-14 03:27:47,0
347837,2013-01-09 07:54:34,2,07:00:00,28,40,0,0,0,,0
229111,2013-02-24 00:16:10,6,00:00:00,53,16,0,0,1,2013-02-24 00:25:36,0
25410,2013-06-04 20:51:01,1,20:00:00,27,43,0,0,1,2013-06-04 20:54:29,0
247778,2013-02-27 21:56:36,2,21:00:00,30,6,0,0,1,2013-02-27 22:18:26,0
93446,2013-01-09 17:06:24,2,17:00:00,24,27,0,0,1,2013-06-09 18:50:16,1
155344,2013-05-24 22:42:13,4,22:00:00,44,56,1,1,0,,0
348712,2013-02-04 00:45:23,0,00:00:00,33,31,0,1,1,2013-02-19 04:00:42,0
197551,2013-02-01 09:06:43,4,09:00:00,22,33,0,0,0,,1
178798,2013-06-30 02:19:02,6,02:00:00,49,12,0,1,0,,0
316132,2013-07-05 14:13:27,4,14:00:00,42,29,1,0,1,2013-07-05 14:15:30,0
133446,2013-04-19 01:41:03,4,01:00:00,29,32,0,0,1,2013-04-19 01:43:37,1
94214,2013-02-13 04:55:02,2,04:00:00,26,30,0,0,1,2013-02-13 17:12:40,1
217161,2013-05-18 23:46:15,5,23:00:00,39,12,0,0,0,,1
241331,2012-12-26 17:26:04,2,17:00:00,19,12,0,1,0,,0
8244,2013-05-21 13:19:17,1,13:00:00,58,13,0,0,0,,1
135746,2013-06-20 23:04:39,3,23:00:00,36,2,0,0,1,2013-06-21 13:05:04,1
354357,2013-06-04 13:38:05,1,13:00:00,19,6,0,0,0,,0
183537,2013-01-04 17:07:56,4,17:00:00,33,5,1,1,0,,0
240067,2013-01-11 15:44:33,4,15:00:00,46,27,0,0,1,2013-01-11 15:48:19,0
231204,2013-03-21 04:11:04,3,04:00:00,38,30,0,0,1,2013-03-21 04:17:39,0
12895,2012-12-30 22:22:41,6,22:00:00,21,11,0,0,1,2013-02-26 02:08:41,0
255296,2013-06-01 21:04:04,5,21:00:00,28,36,0,0,1,2013-06-01 21:05:50,0
235640,2013-06-06 00:57:55,3,00:00:00,25,9,0,0,0,,0
30069,2013-02-10 19:20:30,6,19:00:00,20,24,0,0,0,,0
116493,2013-06-04 18:30:06,1,18:00:00,21,44,0,0,1,2013-06-04 22:03:38,0
271120,2013-07-08 18:17:21,0,18:00:00,24,27,0,0,1,2013-07-08 18:21:54,0
270132,2013-03-15 00:25:59,4,00:00:00,19,92,0,0,1,2013-03-15 00:50:28,0
7914,2013-03-01 14:42:20,4,14:00:00,30,17,0,0,1,2013-03-01 14:43:30,0
145742,2013-02-05 21:11:35,1,21:00:00,17,9,0,0,1,2013-02-05 21:15:52,0
233803,2013-06-11 01:44:33,1,01:00:00,47,8,0,0,0,,0
182226,2013-01-18 16:31:43,4,16:00:00,23,20,0,0,1,2013-01-18 16:33:39,0
100926,2013-07-06 23:24:54,5,23:00:00,38,22,0,0,0,,0
284326,2013-06-10 01:40:53,0,01:00:00,37,23,0,0,1,2013-06-10 01:44:43,0
328645,2013-04-09 03:08:18,1,03:00:00,18,16,0,0,1,2013-04-09 03:10:11,0
353523,2013-02-01 10:41:10,4,10:00:00,39,12,0,0,1,2013-02-01 10:44:46,0
270946,2013-03-23 06:57:15,5,06:00:00,20,20,0,0,1,2013-03-23 07:09:03,0
99313,2013-05-13 13:39:08,0,13:00:00,19,23,0,0,0,,0
133478,2013-05-21 17:57:27,1,17:00:00,24,9,0,0,1,2013-05-21 17:57:27,0
173108,2013-05-12 02:57:50,6,02:00:00,20,26,0,0,0,,0
99535,2013-05-19 08:17:13,6,08:00:00,41,59,0,0,1,2013-05-19 08:18:14,1
356130,2012-12-08 11:22:33,5,11:00:00,60,10,0,0,1,2012-12-08 11:27:41,1
213074,2013-05-25 20:38:39,5,20:00:00,21,31,0,0,1,2013-05-25 20:40:06,0
89934,2012-12-08 17:45:18,5,17:00:00,40,51,0,0,0,,0
88818,2013-03-26 07:35:36,1,07:00:00,24,26,0,0,1,2013-03-29 18:41:38,1
365442,2013-02-11 15:21:57,0,15:00:00,60,6,0,0,0,,1
157846,2013-01-29 06:52:48,1,06:00:00,27,6,0,0,0,,0
262169,2013-01-29 18:49:15,1,18:00:00,22,8,0,0,1,2013-01-29 18:50:25,0
334017,2013-06-24 21:50:11,0,21:00:00,20,27,0,0,0,,0
137410,2013-03-12 22:42:11,1,22:00:00,26,57,0,0,0,,0
67270,2013-01-26 16:26:40,5,16:00:00,23,3,0,0,0,,0
74986,2013-05-12 16:27:56,6,16:00:00,24,22,0,1,1,2013-06-16 14:47:57,0
141543,2013-04-22 20:24:10,0,20:00:00,28,16,0,0,1,2013-04-22 20:25:45,0
267454,2013-05-13 17:57:35,0,17:00:00,29,15,0,1,0,,0
2584,2013-04-12 21:57:31,4,21:00:00,32,13,0,0,0,,0
153178,2013-05-26 07:13:10,6,07:00:00,23,27,0,0,1,2013-05-26 07:16:21,0
282214,2013-03-20 08:53:18,2,08:00:00,21,22,1,0,1,2013-03-20 08:54:15,1
370820,2013-06-05 20:15:14,2,20:00:00,18,36,0,0,1,2013-06-05 20:17:32,0
304331,2013-06-29 01:05:34,5,01:00:00,26,70,0,0,1,2013-06-29 01:08:01,0
47893,2013-05-27 22:36:29,0,22:00:00,43,58,1,0,1,2013-05-27 22:38:13,0
21054,2013-04-28 02:46:53,6,02:00:00,37,9,0,0,0,,1
81825,2013-02-26 10:21:34,1,10:00:00,28,15,0,0,1,2013-02-26 11:04:27,1
269391,2013-06-19 20:52:45,2,20:00:00,21,13,0,1,0,,0
234265,2013-02-11 10:24:16,0,10:00:00,31,24,0,0,1,2013-02-11 10:50:47,1
36273,2013-02-18 15:45:27,0,15:00:00,46,6,0,0,0,,0
128464,2012-12-09 04:29:09,6,04:00:00,45,4,0,1,0,,0
309069,2012-12-23 20:36:46,6,20:00:00,29,1,1,0,1,2013-05-27 15:43:54,1
32977,2012-12-15 07:33:58,5,07:00:00,44,16,0,0,1,2013-02-24 02:01:17,0
152086,2013-06-23 16:53:57,6,16:00:00,40,13,0,1,0,,1
90836,2013-05-30 06:46:11,3,06:00:00,27,23,0,0,0,,0
324080,2013-06-21 14:31:21,4,14:00:00,50,16,1,0,1,2013-06-21 14:33:03,0
132356,2013-06-26 04:52:43,2,04:00:00,19,15,0,1,1,2013-06-26 05:12:46,0
84550,2013-05-11 00:34:47,5,00:00:00,23,34,0,0,1,2013-05-11 01:34:53,0
335132,2012-11-25 17:11:31,6,17:00:00,40,2,0,0,0,,0
61310,2013-05-28 22:04:17,1,22:00:00,38,66,0,1,0,,0
276122,2013-06-10 18:41:57,0,18:00:00,23,25,0,0,1,2013-06-19 18:07:14,0
243662,2013-06-18 16:30:46,1,16:00:00,19,24,0,0,0,,0
72928,2013-02-15 20:34:05,4,20:00:00,52,11,0,0,1,2013-02-15 20:38:55,0
195650,2012-12-19 22:52:01,2,22:00:00,29,6,0,0,1,2013-02-27 22:49:27,0
237569,2013-06-04 18:28:43,1,18:00:00,24,21,0,0,1,2013-07-08 14:22:25,0
88251,2013-01-29 19:31:13,1,19:00:00,20,19,0,0,0,,0
313088,2013-02-09 18:45:52,5,18:00:00,24,46,0,0,1,2013-02-09 18:49:17,0
246668,2012-12-07 19:50:20,4,19:00:00,56,6,0,0,0,,0
260440,2013-02-13 07:43:08,2,07:00:00,23,27,0,0,1,2013-03-01 15:24:50,0
93801,2013-02-26 22:20:36,1,22:00:00,21,19,0,1,0,,0
325447,2013-01-07 00:27:40,0,00:00:00,24,28,0,0,1,2013-01-28 21:55:13,0
84955,2012-12-18 15:19:11,1,15:00:00,48,55,0,0,1,2012-12-18 15:20:03,1
166886,2013-04-14 09:16:20,6,09:00:00,18,11,0,0,0,,0
67380,2013-01-22 13:47:50,1,13:00:00,42,13,0,0,0,,0
336299,2013-04-14 10:26:59,6,10:00:00,31,4,0,0,1,2013-04-14 12:16:57,0
217381,2013-05-05 19:37:34,6,19:00:00,22,8,0,0,0,,0
595,2013-06-01 00:03:35,5,00:00:00,21,23,0,0,0,,1
176032,2013-04-28 19:09:09,6,19:00:00,19,17,0,0,1,2013-04-28 19:18:01,0
81054,2013-06-14 02:48:31,4,02:00:00,31,12,0,0,1,2013-06-19 03:36:07,0
119550,2013-04-07 14:44:44,6,14:00:00,38,40,0,0,1,2013-04-07 14:58:32,0
300225,2013-06-25 14:12:12,1,14:00:00,57,25,0,1,0,,0
233560,2013-01-28 03:04:21,0,03:00:00,22,22,0,1,1,2013-01-28 04:21:52,0
235763,2013-05-20 11:44:59,0,11:00:00,23,13,0,0,1,2013-05-20 11:58:00,0
99595,2013-01-29 14:59:20,1,14:00:00,26,4,0,0,1,2013-01-29 15:13:05,1
113895,2013-07-09 06:59:32,1,06:00:00,23,5,0,0,0,,0
106449,2013-01-12 03:30:56,5,03:00:00,47,10,0,0,0,,0
252384,2013-06-12 16:50:28,2,16:00:00,60,24,0,0,0,,0
355389,2013-04-19 01:29:28,4,01:00:00,30,61,1,0,0,,0
11366,2013-02-21 13:57:43,3,13:00:00,53,24,0,0,1,2013-02-21 13:59:07,0
207380,2013-02-03 19:23:30,6,19:00:00,25,25,0,0,1,2013-02-03 19:24:52,0
322521,2012-12-08 23:37:21,5,23:00:00,39,75,0,1,1,2012-12-08 23:51:55,0
326276,2013-04-07 22:05:16,6,22:00:00,24,55,1,0,1,2013-04-07 22:08:47,1
26534,2013-05-27 17:15:38,0,17:00:00,33,12,0,0,1,2013-05-27 17:16:51,0
67930,2013-06-14 14:25:52,4,14:00:00,39,28,0,0,0,,0
321781,2013-05-12 04:28:02,6,04:00:00,21,10,0,0,1,2013-05-12 15:11:03,0
311122,2013-03-23 21:12:59,5,21:00:00,49,9,1,0,1,2013-03-23 21:14:14,0
22724,2013-05-14 20:57:26,1,20:00:00,34,39,0,0,1,2013-05-14 20:58:17,0
54275,2013-03-02 01:49:16,5,01:00:00,37,34,0,1,0,,0
133403,2013-06-27 00:25:38,3,00:00:00,24,10,0,0,0,,0
22623,2013-01-13 04:22:56,6,04:00:00,19,50,0,0,1,2013-01-13 04:30:33,0
152107,2013-01-24 10:45:21,3,10:00:00,33,1,0,0,1,2013-01-24 11:22:04,0
206614,2012-12-11 13:50:56,1,13:00:00,36,5,0,0,0,,0
152317,2012-12-20 03:46:04,3,03:00:00,42,46,0,0,0,,0
186231,2013-04-06 07:10:01,5,07:00:00,22,23,0,0,1,2013-04-06 07:19:54,0
154510,2013-06-10 16:54:38,0,16:00:00,62,44,0,0,0,,0
35868,2013-02-19 20:09:59,1,20:00:00,18,9,0,0,0,,0
252276,2013-01-14 17:36:29,0,17:00:00,27,42,0,0,1,2013-01-14 17:43:09,1
96475,2013-04-17 18:29:38,2,18:00:00,40,26,1,1,1,2013-04-17 18:31:53,0
48738,2012-12-14 10:14:08,4,10:00:00,47,9,0,0,0,,0
128061,2013-04-15 21:54:43,0,21:00:00,24,16,0,0,1,2013-04-15 21:55:36,0
360310,2013-01-27 18:24:02,6,18:00:00,63,19,0,0,1,2013-01-27 18:56:20,0
33056,2013-01-31 06:28:00,3,06:00:00,21,10,0,0,0,,1
155464,2013-03-05 17:13:30,1,17:00:00,37,13,0,0,1,2013-03-05 17:14:21,0
254646,2013-02-22 02:18:26,4,02:00:00,39,20,0,0,1,2013-02-22 02:58:50,0
9219,2013-01-14 01:11:34,0,01:00:00,41,19,0,0,0,,1
343109,2013-02-15 02:33:17,4,02:00:00,28,10,0,0,1,2013-02-15 02:34:29,1
173971,2013-05-31 02:02:25,4,02:00:00,41,36,0,0,0,,0
301014,2013-01-22 18:29:57,1,18:00:00,45,10,0,1,0,,0
197481,2012-12-29 06:18:27,5,06:00:00,32,22,0,1,1,2013-05-27 12:53:36,0
310735,2013-05-15 18:56:13,2,18:00:00,32,27,1,1,1,2013-05-15 18:57:20,0
128593,2013-04-02 01:30:06,1,01:00:00,31,14,0,0,1,2013-04-02 01:32:19,0
230906,2013-06-13 16:32:08,3,16:00:00,29,37,1,1,1,2013-06-16 19:54:47,0
140466,2013-04-02 13:27:35,1,13:00:00,49,2,0,0,0,,0
335518,2013-03-22 04:50:24,4,04:00:00,34,8,0,0,0,,1
303117,2013-03-08 04:39:05,4,04:00:00,16,22,0,0,1,2013-03-08 04:42:18,0
122893,2012-12-14 13:38:52,4,13:00:00,45,7,0,0,0,,0
17958,2013-03-06 21:10:03,2,21:00:00,21,7,0,1,0,,0
258498,2013-06-02 21:52:15,6,21:00:00,21,34,0,0,1,2013-06-02 22:00:33,0
231701,2013-03-11 23:24:14,0,23:00:00,29,25,0,0,1,2013-03-11 23:31:13,0
79140,2013-06-19 19:17:24,2,19:00:00,19,34,0,0,1,2013-06-19 19:20:40,0
143464,2013-03-22 20:32:16,4,20:00:00,25,3,0,1,0,,1
25387,2013-04-08 04:48:08,0,04:00:00,22,46,0,0,1,2013-05-07 02:11:20,0
144820,2013-06-21 20:30:16,4,20:00:00,28,40,0,0,1,2013-06-21 20:35:00,0
353289,2013-06-14 10:35:51,4,10:00:00,20,33,0,1,1,2013-06-14 10:38:39,0
53795,2013-02-08 04:23:36,4,04:00:00,19,16,0,0,1,2013-02-08 04:24:30,0
254594,2013-05-11 09:35:52,5,09:00:00,38,16,0,0,1,2013-05-11 10:01:52,1
197255,2013-07-06 23:12:16,5,23:00:00,33,22,0,0,1,2013-07-06 23:32:07,0
2883,2013-02-12 16:22:24,1,16:00:00,19,31,0,0,1,2013-02-12 16:23:12,0
349090,2013-02-11 19:04:33,0,19:00:00,24,14,1,1,1,2013-02-11 19:18:26,0
85455,2013-03-27 18:35:40,2,18:00:00,29,4,0,0,0,,0
145673,2012-12-08 19:20:38,5,19:00:00,41,34,0,1,1,2013-06-30 22:54:35,0
186933,2013-05-23 12:24:35,3,12:00:00,53,4,0,0,0,,1
251478,2013-02-12 00:30:44,1,00:00:00,50,7,0,1,0,,0
